operon_no.	locus_tag	start	end 	sense
343	CCNA_00619	663176	664456	+
543	CCNA_00954	1030701	1032068	+
1864	CCNA_03168	3326871	3327722	-
1699	CCNA_02919	3077268	3078422	+
533	CCNA_00933	1008616	1010022	+
2059	CCNA_03485	3647087	3648061	-
2102	CCNA_03574	3727740	3730142	-
1258	CCNA_02202	2350414	2351211	+
969	CCNA_01663	1782651	1784363	+
1622	CCNA_02793	2951028	2953514	+
97	CCNA_00185	197285	199810	-
1985	CCNA_03368	3545028	3545456	+
791	CCNA_01372	1486831	1487439	-
1476	CCNA_02559	2706236	2706730	-
357	CCNA_00647	697642	698427	+
1072	CCNA_01853	1985425	1985829	+
22	CCNA_00049	52245	52679	-
1642	CCNA_02828	2982516	2983442	+
138	CCNA_00253	265999	267027	+
332	CCNA_00598	631886	634816	-
208	CCNA_00378	395418	396026	-
286	CCNA_00517	532435	533052	-
1666	CCNA_03882	3021595	3021876	-
765	CCNA_01329	1443787	1444176	+
2042	CCNA_03458	3621165	3621650	-
1773	CCNA_03038	3192834	3194387	-
581	CCNA_01006	1086082	1086393	+
1988.1	CCNA_03371	3546725	3547204	-
278	CCNA_00503	519310	519732	+
2363	CCNA_03912	35047	35667	-
1153	CCNA_02013	2159777	2160562	-
414	CCNA_00740	798513	799454	-
1899	CCNA_03217	3377955	3378587	-
1164	CCNA_02049	2196860	2197255	-
54	CCNA_00107	118260	118457	-
1799	CCNA_03080	3228577	3228828	-
1906	CCNA_03236	3401109	3401984	-
633	CCNA_01083	1186885	1188876	+
1765	CCNA_03022	3175827	3177011	-
92.1	CCNA_00168	180205	180801	+
1180	CCNA_02078	2228427	2229875	-
306	CCNA_00551	568260	568700	-
521	CCNA_00912	991916	992983	-
1175	CCNA_02066	2218017	2218730	-
313	CCNA_00565	580036	581778	-
1584	CCNA_02735	2897129	2897845	-
1721	CCNA_02950	3109890	3111152	+
289	CCNA_00523	536853	537638	-
1111	CCNA_01921	2066987	2067280	-
953	CCNA_01634	1752579	1753430	+
600	CCNA_01036	1129199	1132048	-
1582	CCNA_02731	2894158	2894847	-
1900	CCNA_03221	3383005	3384636	+
2394	CCNA_03922	483798	484859	+
575	CCNA_00996	1078807	1079691	+
832	CCNA_01442	1553908	1554861	+
1360	CCNA_02353	2492794	2493258	-
2107	CCNA_03580	3737442	3737900	-
953.1	CCNA_01637	1755866	1758145	+
945	CCNA_01619	1740418	1741014	-
1045	CCNA_01806	1930211	1931668	+
910	CCNA_01572	1689094	1689768	-
452	CCNA_00793	856299	857666	+
303	CCNA_00546	564671	565453	+
2023	CCNA_03907	3592612	3592947	-
1154	CCNA_02035	2178958	2180166	-
1273.1	CCNA_02217	2364081	2364383	-
2097	CCNA_03564	3719438	3719677	-
1042	CCNA_01795	1921855	1923135	+
409	CCNA_00732	789387	790439	+
2164	CCNA_03689	3854885	3855997	+
862	CCNA_01494	1603290	1604531	-
102	CCNA_00196	209092	210531	-
19	CCNA_00042	45893	46543	-
1865	CCNA_03169	3327940	3328524	+
37	CCNA_00083	87043	88683	-
1449	CCNA_02510	2660530	2661303	+
1979	CCNA_03357	3535517	3535900	-
2201	CCNA_03741	3910659	3911783	-
1067	CCNA_01842	1974143	1974370	+
1087	CCNA_01881	2020520	2021158	+
329	CCNA_00594	624522	626342	-
1433	CCNA_02461	2603706	2604170	-
1674	CCNA_02881	3028870	3030456	+
33	CCNA_00077	80355	81530	-
1401	CCNA_02412	2556193	2556915	+
1268	CCNA_02212	2359781	2360692	+
2030	CCNA_03439	3603264	3603389	-
463	CCNA_00822	883961	884305	-
103	CCNA_00197	211121	211522	-
532	CCNA_00930	1006253	1006870	+
657	CCNA_01123	1227687	1229291	+
864	CCNA_01498	1608057	1609523	+
695	CCNA_01182	1301993	1302586	+
357	CCNA_00650	700527	701747	+
1301	CCNA_02258	2409393	2410118	+
1732.5	CCNA_03902	3125238	3125573	-
2262	CCNA_03834	3998875	4000665	-
2032	CCNA_03444	3606023	3608536	+
1471	CCNA_02552	2699457	2699786	+
1312	CCNA_02271	2423833	2424618	-
2157	CCNA_03676	3836131	3836574	+
1170	CCNA_02058	2207608	2208831	+
2244	CCNA_03807	3971995	3972657	+
1113	CCNA_01925	2070969	2072426	-
404	CCNA_00726	781663	782970	-
168	CCNA_00307	321045	322868	-
2098	CCNA_03565	3719831	3720154	-
1141	CCNA_01974	2119270	2119866	+
253	CCNA_00460	473245	473400	+
1770	CCNA_03031	3185752	3186591	-
2042	CCNA_03992	3621641	3621718	-
1420	CCNA_02442	2582757	2584259	-
1276	CCNA_02226	2374701	2375078	-
790	CCNA_01371	1486421	1486729	-
682	CCNA_01162	1269938	1272241	+
958	CCNA_01647	1767180	1768334	-
11	CCNA_00022	23029	23559	-
541	CCNA_00947	1024495	1026270	+
296	CCNA_00536	547831	551901	+
953	CCNA_01636	1754218	1755804	+
1347	CCNA_02332	2473963	2474481	+
5	CCNA_00009	7170	7790	-
1106	CCNA_03957	2058655	2058888	+
231	CCNA_00416	429725	430123	-
2100	CCNA_03571	3724626	3725417	+
7	CCNA_00012	11467	14178	+
1999	CCNA_03389	3561988	3562923	-
1076	CCNA_01861	1995291	1996484	+
2277	CCNA_03862	4024198	4024818	+
354	CCNA_00640	691897	692172	-
1970	CCNA_03345	3525220	3525837	-
1380	CCNA_02382	2524178	2525074	+
481	CCNA_00843	915317	916645	-
1119	CCNA_01943	2085576	2086226	+
225	CCNA_00400	418061	418504	+
540	CCNA_00942	1018428	1019351	-
864	CCNA_01500	1610768	1611922	+
1439	CCNA_02471	2613665	2614930	+
1743	CCNA_02987	3142543	3142782	+
399	CCNA_03930	772790	772894	-
1445	CCNA_02491	2638974	2639681	+
1343	CCNA_02325	2466949	2467884	-
302	CCNA_00544	562579	563754	+
1706	CCNA_02930	3090917	3091450	-
1147	CCNA_01999	2145250	2146188	-
2148	CCNA_03661	3821590	3821715	-
1098	CCNA_01900	2042642	2043268	-
1030	CCNA_01783	1911358	1912050	-
908	CCNA_01569	1686283	1687005	+
1470	CCNA_02546	2694580	2695944	-
440	CCNA_00779	840345	840746	+
1185	CCNA_02088	2237630	2237962	+
1618	CCNA_02788	2945506	2945736	-
1165	CCNA_02050	2197425	2198894	+
2279	CCNA_03866	4028753	4029253	+
617	CCNA_01059	1159693	1162773	+
2208	CCNA_03750	3919811	3921013	+
2177	CCNA_03706	3874686	3875114	+
1335	CCNA_02313	2458478	2459416	-
1950	CCNA_03305	3483183	3483656	-
2065	CCNA_03495	3654263	3655060	-
213	CCNA_00384	400574	401479	+
1217	CCNA_02135	2292072	2292770	-
85.1	CCNA_00157	165022	165393	+
558	CCNA_00971	1049148	1050041	-
2017	CCNA_03418	3584768	3585241	-
1309	CCNA_02268	2420938	2421585	-
1441	CCNA_02476	2620910	2621986	+
869	CCNA_01508	1618206	1618991	-
1134	CCNA_01966	2108222	2110945	+
423	CCNA_00754	812595	813296	-
95	CCNA_00172	186287	188350	+
58	CCNA_00113	121972	122544	+
869	CCNA_01506	1616805	1617545	-
1234	CCNA_02165	2319266	2320324	-
927	CCNA_01596	1716478	1718895	-
99	CCNA_00190	204137	204571	+
1439	CCNA_02473	2616158	2619331	+
2234	CCNA_03790	3955324	3955599	+
683	CCNA_01163	1272589	1280028	+
1118	CCNA_01940	2082316	2083785	-
41	CCNA_00088	97841	99385	+
620	CCNA_01067	1171152	1172735	+
717	CCNA_01225	1352057	1353184	-
2283	CCNA_03878	4040589	4041632	-
1776	CCNA_03046	3200091	3200642	+
2183	CCNA_03719	3884181	3884981	-
2169.1	CCNA_03697	3864708	3865265	+
1905.5	CCNA_03231	3397198	3397377	+
1346.1	CCNA_02331	2472976	2473827	+
649	CCNA_01111	1217028	1217396	+
875	CCNA_01519	1628290	1629102	+
1572	CCNA_02712	2870859	2871872	+
455	CCNA_00800	864829	866391	+
946	CCNA_01620	1741064	1741558	+
594	CCNA_01028	1114031	1115644	+
2268	CCNA_03846	4012572	4013048	-
2100	CCNA_03568	3722350	3723000	+
294	CCNA_00533	544865	546187	-
361	CCNA_00660	717822	718802	-
2281	CCNA_03874	4036691	4037386	+
2082	CCNA_03530	3686586	3686966	-
1346.1	CCNA_02330	2472776	2472991	+
1381	CCNA_02383	2525071	2525940	-
2283	CCNA_03877	4040125	4040640	-
648	CCNA_01109	1213981	1215771	+
769	CCNA_01335	1447721	1448638	-
708	CCNA_01201	1325802	1326326	-
245	CCNA_00438	444889	445200	-
1466	CCNA_02539	2688132	2689277	+
2270	CCNA_03848	4013963	4014820	-
543	CCNA_00953	1030335	1030667	+
1041	CCNA_01794	1920971	1921741	-
154	CCNA_00275	288082	289527	-
1758	CCNA_03007	3160905	3162440	+
738	CCNA_01264	1394767	1395261	-
795	CCNA_01380	1494812	1495345	+
2068	CCNA_03500	3657155	3658564	-
1641	CCNA_02825	2980586	2980978	+
1991	CCNA_03375	3548806	3549681	-
2194	CCNA_03732	3899392	3900552	+
178	CCNA_00327	339828	340490	-
2134	CCNA_03625	3780304	3781209	+
1826	CCNA_03115	3264787	3265797	+
2020	CCNA_03425	3591720	3591821	+
2246	CCNA_03812	3975911	3976462	+
827	CCNA_01435	1549509	1549760	-
1062	CCNA_01836	1968272	1968904	+
193	CCNA_00353	369280	370374	+
636	CCNA_01087	1193276	1193992	+
296	CCNA_00537	552015	556205	+
135	CCNA_00248	259514	260914	-
1703	CCNA_02925	3086931	3088097	+
998	CCNA_01731	1859756	1860373	-
655	CCNA_01120	1224190	1224321	-
1286	CCNA_02238	2388328	2388534	+
1845	CCNA_03143	3294602	3296371	-
1234	CCNA_02166	2320321	2320905	-
1330	CCNA_02306	2451284	2452405	+
424	CCNA_00756	813842	814120	-
286	CCNA_00516	531683	532432	-
13	CCNA_00026	26701	29403	-
2173	CCNA_03700	3868697	3869116	-
2181	CCNA_03714	3879977	3880735	-
928	CCNA_01597	1718983	1719228	-
1607	CCNA_02763	2924942	2926183	+
1015	CCNA_01763	1891999	1893480	+
721	CCNA_01233	1360253	1361161	-
200	CCNA_00359	375919	376716	+
903	CCNA_01561	1679798	1680181	+
207	CCNA_00376	391059	391838	+
367	CCNA_00674	731887	733134	-
2245	CCNA_03811	3974785	3975687	-
1392	CCNA_02400	2542088	2543344	-
2089	CCNA_03539	3697049	3697411	+
1783	CCNA_03055	3208375	3209055	-
511	CCNA_00891	968889	969827	+
1471	CCNA_02550	2697983	2699239	+
605	CCNA_01044	1140124	1140756	+
601.1	CCNA_01037	1132130	1132891	-
416	CCNA_00744	801752	802036	+
2105	CCNA_03577	3731993	3734884	-
1317	CCNA_02279	2429681	2430310	+
1565	CCNA_02703	2858762	2859109	-
552	CCNA_00965	1039915	1040613	-
2130	CCNA_03620	3775675	3776478	-
1787	CCNA_03060	3212737	3212916	+
2119	CCNA_03599	3752909	3753955	+
264	CCNA_00479	495332	495655	+
589	CCNA_01021	1105026	1108139	+
1417	CCNA_02438	2578809	2579783	+
1518.1	CCNA_03971	2773140	2773205	-
367	CCNA_00676	733495	733734	-
954	CCNA_01640	1760990	1761952	+
1531	CCNA_02649	2803178	2803789	-
314	CCNA_00566	582330	583541	-
2123	CCNA_03604	3758872	3759210	-
2127	CCNA_03615	3768717	3770777	+
814	CCNA_01414	1531736	1532788	+
1630	CCNA_02808	2963500	2963979	+
1045	CCNA_01804	1928226	1928708	+
1287	CCNA_02239	2388542	2389714	-
1370	CCNA_02367	2509312	2510400	+
997	CCNA_01727	1854729	1856234	-
1308	CCNA_02267	2420364	2420987	+
674	CCNA_01152	1255714	1256535	+
1549	CCNA_02675	2828746	2829240	+
1735	CCNA_02973	3128811	3129101	+
2031	CCNA_03443	3605305	3605787	-
930	CCNA_01600	1721109	1722017	-
713	CCNA_01211	1337787	1338662	-
2062	CCNA_03489	3649563	3650528	-
1728	CCNA_03983	3118775	3119035	+
1455	CCNA_02520	2670650	2670937	-
1144	CCNA_01980	2124219	2124986	-
1501	CCNA_02599	2745226	2745402	-
1248	CCNA_02190	2340908	2343046	+
792.1	CCNA_01376	1490853	1491557	+
898	CCNA_01551	1665480	1665698	+
1340	CCNA_02322	2464700	2465164	+
1997	CCNA_03385	3557646	3558134	-
169	CCNA_00308	323024	323689	+
1171	CCNA_02059	2208899	2209894	-
1352	CCNA_02341	2480879	2481337	+
1981	CCNA_03273	3540642	3541286	-
2340	CCNA_02034	2177948	2178961	+
8	CCNA_00014	17018	17494	-
2070	CCNA_03505	3663479	3663961	-
2181	CCNA_03715	3880744	3881304	-
1518	CCNA_02626	2775710	2776684	-
462	CCNA_00818	881445	882167	-
68	CCNA_00130	138921	140918	-
1737	CCNA_02977	3132063	3132632	+
108	CCNA_00204	218336	220237	-
1620	CCNA_02790	2946155	2946682	+
2001	CCNA_03392	3563760	3564845	-
2100	CCNA_03567	3720951	3722258	+
99	CCNA_00191	204697	205173	+
1125	CCNA_01951	2093252	2095621	-
531	CCNA_00927	1003804	1004418	-
832	CCNA_01440	1552866	1553339	+
459	CCNA_00810	873744	874886	-
1133	CCNA_01963	2106904	2107542	-
1078	CCNA_01864	1998726	1999349	+
464	CCNA_03941	884548	884910	-
1442	CCNA_02481	2626536	2629109	-
2251	CCNA_03817	3981937	3982785	+
2280.1	CCNA_03869	4031502	4032305	-
970	CCNA_01669	1791576	1792433	+
2279	CCNA_03864	4025489	4026016	+
1334	CCNA_02312	2457494	2458384	-
1914	CCNA_03252	3423311	3423691	+
553	CCNA_00966	1040719	1041387	+
1326	CCNA_02294	2441149	2442567	+
2155	CCNA_03672	3832546	3833166	-
183	CCNA_00337	347595	348305	+
1668	CCNA_02873	3023436	3023798	+
27	CCNA_00062	63327	64361	-
183	CCNA_00335	345618	346055	+
994	CCNA_01715	1845879	1846565	+
1735	CCNA_02974	3129098	3129376	+
1851	CCNA_03150	3306126	3306284	-
1897	CCNA_03215	3376165	3377580	+
1418	CCNA_02440	2581207	2582247	-
1846	CCNA_03144	3296493	3298424	-
2219	CCNA_03768	3935365	3936891	-
514	CCNA_00894	973984	975135	+
2423	CCNA_03993	3720400	3720816	-
1195	CCNA_02100	2250015	2250494	-
1439	CCNA_03967	2613137	2613619	+
961	CCNA_01652	1774090	1774581	+
2073	CCNA_03514	3671916	3672566	-
1574	CCNA_02715	2875196	2877277	+
649	CCNA_01112	1217396	1218130	+
991	CCNA_01709	1840745	1841074	-
2009	CCNA_03403	3572282	3572488	+
1495	CCNA_02588	2738277	2739206	-
1531	CCNA_02651	2804514	2805407	-
1496	CCNA_02592	2740914	2741333	+
991	CCNA_01710	1841077	1842606	-
1744	CCNA_02988	3142849	3143337	+
2018	CCNA_03420	3585826	3586425	+
980	CCNA_01690	1817419	1817814	+
133	CCNA_00244	256953	257594	+
747	CCNA_01278	1404393	1404881	-
159	CCNA_00284	295966	296631	-
1772	CCNA_03034	3188908	3189102	-
521	CCNA_00909	989266	990003	-
969	CCNA_01665	1786463	1787056	+
22.1	CCNA_00047	50132	50812	-
836	CCNA_01447	1559503	1560792	+
1699	CCNA_02915	3073295	3074620	+
1327	CCNA_02298	2444803	2445762	-
163.1	CCNA_00294	308810	309634	+
1237	CCNA_02173	2326092	2326841	+
764	CCNA_01325	1440388	1440873	+
1528	CCNA_02639	2790973	2792388	-
1049	CCNA_01814	1938708	1939829	+
507	CCNA_00887	966367	966831	+
711	CCNA_01209	1335487	1336638	+
796	CCNA_01381	1495472	1498192	+
2047	CCNA_03467	3630434	3632938	-
601	CCNA_01038	1132998	1133387	-
170	CCNA_00311	324842	326173	-
779	CCNA_01351	1463228	1463956	-
751	CCNA_01286	1412679	1412939	+
1631	CCNA_02812	2969819	2970106	+
592	CCNA_01026	1112731	1113450	-
1906	CCNA_03234	3399064	3399813	-
360	CCNA_00659	714931	717825	+
238	CCNA_00427	436958	437146	+
98	CCNA_00187	201599	202681	-
2258	CCNA_03825	3991412	3991774	-
166	CCNA_00300	313978	314385	-
2208	CCNA_03749	3918833	3919735	+
2229	CCNA_03781	3947320	3950007	-
131	CCNA_00239	254808	255242	+
1970.3	CCNA_03332	3511434	3512258	-
1811	CCNA_03094	3242864	3243922	-
156	CCNA_00278	291339	292259	+
2115	CCNA_03593	3746642	3747769	-
371	CCNA_00685	741108	741725	-
1421	CCNA_02443	2584421	2585281	-
1574.1	CCNA_02718	2879117	2879875	+
910	CCNA_01573	1689765	1690118	-
2266	CCNA_03841	4007847	4008806	-
108	CCNA_00205	220241	220822	-
941	CCNA_01611	1732085	1732963	+
1713	CCNA_02937	3098040	3098702	+
642	CCNA_01100	1205363	1207291	-
371	CCNA_00684	740473	741111	-
794	CCNA_01378	1492535	1493107	+
1547.1	CCNA_02669	2821311	2822591	-
623	CCNA_01070	1176508	1177257	-
6	CCNA_00010	8165	10060	+
85	CCNA_00156	164664	164951	+
629	CCNA_01078	1183239	1183991	+
2176	CCNA_03705	3873755	3874225	+
1556	CCNA_02682	2835214	2835987	-
622	CCNA_01069	1174284	1175819	+
235	CCNA_00424	434121	435560	+
1453	CCNA_02516	2666167	2666892	-
1452	CCNA_02515	2665716	2665994	-
1532	CCNA_02652	2805606	2807102	+
347	CCNA_00624	669233	670396	-
1512	CCNA_02616	2764250	2765323	-
357	CCNA_00644	694013	695422	+
592	CCNA_01024	1111617	1112111	-
1553	CCNA_02678	2830944	2831828	-
112	CCNA_00213	229568	230116	+
33	CCNA_00076	79975	80358	-
1828.1	CCNA_03119	3267484	3267882	-
151	CCNA_00267	280931	281872	-
1406	CCNA_02420	2564292	2564726	-
1200	CCNA_02109	2258250	2260088	-
1047	CCNA_01810	1935483	1935929	+
1458	CCNA_02525	2673609	2674607	+
910	CCNA_01571	1688684	1689097	-
2028	CCNA_03434	3597858	3598670	+
17	CCNA_00034	38211	38480	-
2280.1	CCNA_03868	4030549	4031463	-
457	CCNA_00804	868374	868859	-
1148	CCNA_02001	2147447	2148097	+
892	CCNA_01543	1653545	1654885	-
1518.1	CCNA_02623	2771579	2773105	-
1220	CCNA_02145	2303132	2303866	+
963	CCNA_01655	1776509	1776976	+
1872	CCNA_03181	3340424	3341698	+
748	CCNA_01282	1408625	1409668	+
726	CCNA_01240	1365901	1366665	-
1644	CCNA_02830	2984967	2985137	+
280	CCNA_00505	520398	520949	+
1525	CCNA_02634	2785244	2786329	-
1388	CCNA_02395	2538160	2538489	-
561	CCNA_00974	1051388	1054555	+
375	CCNA_00690	747704	748207	-
86	CCNA_00159	166781	169246	+
732	CCNA_01254	1382418	1382876	+
149	CCNA_00265	278017	279471	+
1153	CCNA_02017	2164265	2166325	-
1411	CCNA_02430	2571450	2571929	-
2168	CCNA_03693	3859081	3859836	-
176	CCNA_00324	337932	338390	-
1176	CCNA_02067	2218802	2219416	-
1883	CCNA_03198	3357782	3358591	-
1278	CCNA_02229	2376611	2376871	+
1217	CCNA_02133	2289247	2290242	-
18	CCNA_00040	41960	42511	-
1803	CCNA_03084	3233155	3234393	-
369	CCNA_00680	736612	737247	-
1475	CCNA_02557	2703852	2704640	+
2132	CCNA_03622	3777515	3777877	+
1970	CCNA_03344	3524183	3525223	-
403	CCNA_00723	780108	780302	+
998	CCNA_01735	1863704	1864189	-
95	CCNA_00176	191399	191956	+
101	CCNA_00193	206989	208041	-
1653	CCNA_02848	3000851	3002833	-
429	CCNA_00763	821210	822151	-
942	CCNA_01612	1733317	1734360	+
1147.1	CCNA_01998	2144332	2145072	-
1359	CCNA_02349	2488425	2489324	+
1940	CCNA_03286	3455888	3456568	-
727	CCNA_01243	1369302	1371773	+
439	CCNA_00777	835363	837786	-
68	CCNA_00129	138555	138917	-
1255	CCNA_02199	2348573	2349316	+
764.1	CCNA_01327	1442583	1443158	+
1465	CCNA_02538	2687023	2688045	-
1782	CCNA_03054	3209150	3210088	+
1287	CCNA_02240	2389711	2390484	-
2074	CCNA_03521	3677701	3678537	+
884.1	CCNA_01534	1643010	1643408	+
2110.1	CCNA_03585	3740756	3741133	+
206	CCNA_00370	387576	388085	-
821	CCNA_01426	1543638	1544192	-
2023	CCNA_03428	3592995	3593264	-
1259	CCNA_02203	2351214	2351792	-
595	CCNA_01029	1115733	1118816	-
2271	CCNA_03852	4017194	4017928	+
707	CCNA_01200	1323479	1325734	-
1630	CCNA_02804	2960344	2960544	+
1009	CCNA_01749	1877029	1877265	+
1267	CCNA_02211	2358556	2359698	+
364	CCNA_00668	724701	725753	-
243	CCNA_00436	441717	442865	+
2220	CCNA_03770	3937871	3938833	-
1329	CCNA_02303	2448736	2449281	-
1520	CCNA_02629	2779586	2781007	-
1168	CCNA_02054	2203400	2204932	-
1640	CCNA_02823	2979912	2980037	-
607	CCNA_01047	1142237	1144948	+
1601	CCNA_02755	2919671	2920069	+
512	CCNA_00892	970314	972578	+
21	CCNA_00046	49645	50031	-
521	CCNA_00908	988042	989181	-
1980	CCNA_03358	3536116	3537123	+
772	CCNA_01339	1452254	1452583	+
16	CCNA_00031	34312	34698	-
52	CCNA_00104	115289	115990	-
1399	CCNA_02410	2553957	2555147	+
276	CCNA_00499	515480	515845	-
1573	CCNA_02714	2873155	2874981	+
1613	CCNA_02777	2936207	2936341	-
1264	CCNA_02208	2355989	2356828	+
1162	CCNA_02046	2192516	2192854	+
2282	CCNA_03876	4038433	4039866	-
1416	CCNA_02434	2575252	2575692	-
1005	CCNA_01744	1872325	1873437	-
871	CCNA_01510	1620483	1620866	+
1491	CCNA_02581	2731704	2732189	+
880	CCNA_01527	1635261	1636082	+
615	CCNA_01057	1157551	1159047	-
1032	CCNA_01785	1912486	1913097	-
1192	CCNA_02096	2244856	2245224	-
606	CCNA_01045	1140749	1141093	-
1312	CCNA_02273	2424964	2425212	-
1447	CCNA_02498	2648023	2648679	+
400	CCNA_03932	773733	773987	-
1952	CCNA_03310	3486449	3487006	-
417	CCNA_00746	802771	803496	-
1905.5	CCNA_03232	3397365	3397640	+
2280	CCNA_03872	4034962	4036332	-
876	CCNA_01521	1629643	1630458	-
497.1	CCNA_00872	951754	952008	-
1118	CCNA_01936	2078937	2080163	-
1838	CCNA_03131	3280062	3280865	-
1234	CCNA_03897	2321655	2321942	-
286	CCNA_00518	533140	533733	-
2205	CCNA_03746	3915780	3916955	+
318	CCNA_00576	600176	601420	+
2369	CCNA_03921	474254	474409	+
65.1	CCNA_00125	135509	136177	-
1375	CCNA_02374	2519668	2519934	-
2396	CCNA_03939	854395	854685	+
1647	CCNA_02838	2990620	2991021	-
724	CCNA_01236	1363099	1363332	-
214	CCNA_00386	402858	403445	-
1118	CCNA_01934	2078166	2078567	-
1528	CCNA_02645	2798559	2799494	-
1814	CCNA_03098	3249391	3250341	+
1604.1	CCNA_02761	2923673	2923918	+
1938	CCNA_03284	3453897	3454931	+
1507	CCNA_02610	2756849	2757226	+
389	CCNA_00707	764103	765185	-
1982	CCNA_03365	3543194	3543958	+
30	CCNA_00067	69493	69774	-
1068	CCNA_01843	1974451	1976028	+
2084	CCNA_03532	3688646	3690394	+
524	CCNA_00917	994996	995262	-
1718	CCNA_02944	3103950	3104690	+
8	CCNA_00016	18043	18495	-
1805	CCNA_03086	3235578	3236024	-
1666	CCNA_02870	3020768	3021184	-
1213	CCNA_02127	2279617	2281278	-
685	CCNA_01168	1286584	1287783	-
2100	CCNA_03572	3725442	3725873	+
1970.1	CCNA_03339	3520731	3521543	-
1979	CCNA_03356	3535187	3535513	-
246	CCNA_00442	448237	450525	+
333	CCNA_00601	636877	637848	+
922	CCNA_01586	1704585	1705310	+
2304	CCNA_00456	464819	467092	+
1002	CCNA_01740	1869866	1870144	-
2144	CCNA_03642	3801029	3802816	-
1764	CCNA_03020	3174508	3175635	+
424	CCNA_00755	813444	813884	-
171	CCNA_00317	331907	332971	-
541	CCNA_00946	1023665	1024348	+
1247	CCNA_02188	2339575	2340048	+
818	CCNA_01419	1536723	1538009	+
225	CCNA_00401	418501	419271	+
1247	CCNA_02187	2339090	2339578	+
2230	CCNA_03783	3950802	3951467	+
1098	CCNA_01901	2043376	2044365	-
4	CCNA_00008	5636	7108	+
849	CCNA_01474	1582301	1582468	+
1277	CCNA_02228	2376055	2376489	+
22	CCNA_00052	55231	55686	-
231	CCNA_00417	430127	430498	-
1450	CCNA_02513	2663309	2664847	-
1442	CCNA_02480	2625023	2626486	-
1163	CCNA_02048	2194602	2196782	+
820	CCNA_01425	1541409	1543547	+
188	CCNA_00347	361909	362088	+
610	CCNA_01050	1146283	1147911	+
1502	CCNA_02602	2747660	2748538	+
295	CCNA_00534	546314	547336	+
2012	CCNA_03406	3574049	3574282	+
1587	CCNA_02738	2898997	2899818	+
270	CCNA_00487	504911	506605	+
293	CCNA_00532	543952	544842	+
1263	CCNA_02207	2354920	2355870	+
1291	CCNA_02245	2394654	2395106	-
182	CCNA_00333	344130	344957	-
921	CCNA_01585	1702356	1704437	-
103	CCNA_00198	211519	212256	-
1756	CCNA_03002	3155705	3156322	-
1555	CCNA_02681	2833779	2835203	+
2224	CCNA_03775	3942525	3942908	+
368	CCNA_00678	734576	735007	-
38	CCNA_00085	90655	91413	+
1853	CCNA_03154	3309667	3311148	+
366	CCNA_00673	730781	731788	+
1620	CCNA_02791	2946695	2947768	+
1425	CCNA_02449	2589931	2590584	+
695	CCNA_01184	1303641	1304087	+
1827	CCNA_03116	3265911	3266135	+
1762	CCNA_03015	3168427	3168684	-
1169	CCNA_02056	2205383	2206108	-
420	CCNA_00750	807593	808621	-
1384	CCNA_02390	2534303	2535016	+
1853	CCNA_03153	3308924	3309634	+
2060	CCNA_03487	3648687	3648914	+
689	CCNA_01174	1293570	1294526	-
35	CCNA_00081	84763	84972	-
1702	CCNA_02924	3086211	3086489	-
1231	CCNA_02161	2316227	2316895	+
2110.1	CCNA_03586	3741130	3741960	+
639	CCNA_01094	1199089	1199238	-
1159	CCNA_02040	2185464	2186132	+
1180.1	CCNA_02075	2225052	2226881	-
222	CCNA_00396	412933	413610	-
368	CCNA_00677	733882	734571	-
2146	CCNA_03650	3808003	3808731	+
952	CCNA_01632	1751025	1751486	-
1379	CCNA_02379	2522509	2522988	-
1854	CCNA_03156	3311938	3312453	+
395	CCNA_00714	770440	770709	-
15	CCNA_00029	32914	33546	+
140	CCNA_00256	269206	270057	-
453	CCNA_00794	857776	858969	+
830	CCNA_01438	1550159	1551190	+
246	CCNA_00445	451877	452911	+
1786	CCNA_03057	3210738	3211103	-
1597	CCNA_02749	2910514	2910963	-
126	CCNA_00230	245765	247003	-
242	CCNA_00434	439068	440003	+
23	CCNA_00056	58654	59106	-
730	CCNA_01250	1377382	1378422	+
38	CCNA_00084	89053	90642	+
2095	CCNA_03557	3713085	3713810	-
1003	CCNA_01742	1870808	1871467	+
1337	CCNA_02317	2460852	2461289	-
338	CCNA_00609	647369	648415	+
2238	CCNA_03795	3958800	3959258	+
2031	CCNA_03440	3603496	3604488	-
79	CCNA_00147	158354	158470	+
744	CCNA_01271	1398470	1399003	+
959	CCNA_01648	1768405	1769667	+
1591	CCNA_02742	2902466	2903737	-
1501	CCNA_02600	2745450	2746283	-
1094	CCNA_01892	2033679	2035319	+
1769	CCNA_03030	3184852	3185538	+
344	CCNA_00621	666047	666601	-
731	CCNA_01252	1379181	1381280	-
1923	CCNA_03266	3436670	3436996	-
529	CCNA_00925	1002018	1002560	-
1916	CCNA_03255	3426607	3427053	-
316	CCNA_00571	589132	591768	+
990	CCNA_01708	1840110	1840661	+
1029	CCNA_01781	1908544	1908939	-
386	CCNA_00704	762676	762873	+
549	CCNA_00959	1037402	1038040	+
1623	CCNA_02795	2955255	2955908	-
1009.1	CCNA_01750	1877432	1878712	+
772	CCNA_03880	1452580	1453074	+
1094	CCNA_01893	2035334	2035876	+
1798	CCNA_03078	3228145	3228258	+
1019	CCNA_01769	1896310	1898175	-
1273	CCNA_02218	2364482	2365177	-
802	CCNA_01389	1506300	1507313	+
1441	CCNA_02477	2621983	2622933	+
