operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	P1	P2	P3	P4	TSS type	number of TSS	internal 	flag	non-coding	RNA
1100	CCNA_01902	CCNA_01906	2044927	2052303	+	y	x	x	x	x	NO	0	n	simple	0	x
1105	CCNA_01913	CCNA_01913	2056542	2056922	+	n	2056508	2056542	x	x	TRUE	multiple	n	complex	0	x
1106	CCNA_01914	CCNA_03957	2057017	2058888	+	y	x	x	x	x	NO	0	y	complex	0	x
1109	CCNA_01918	CCNA_01918	2061343	2062668	+	n	2061285	x	x	x	TRUE	1	n	simple	0	x
1110	CCNA_01919	CCNA_01919	2062750	2063394	+	n	2062714	x	x	x	TRUE	1	n	simple	0	x
1112	CCNA_01923	CCNA_01923	2068157	2069710	+	n	2068086	x	x	x	TRUE	1	n	simple	0	x
1114	CCNA_01926	CCNA_01926	2072620	2073681	+	n	2072571	x	x	x	TRUE	1	n	simple	0	x
1115	CCNA_01927	CCNA_01927	2073818	2074621	+	n	2073795	x	x	x	POTENTIAL	1	n	simple	0	x
1117	CCNA_01931	CCNA_01932	2076486	2077861	+	y	2076486	x	x	x	TRUE	1	y	complex	0	x
1119	CCNA_01943	CCNA_01943	2085576	2086226	+	n	2085446	2085458	x	x	TRUE	multiple	n	complex	0	x
2407	CCNA_03958	CCNA_03958	2088068	2088118	+	n	2088068	x	x	x	TRUE	1	n	simple	0	x
1122	CCNA_01946	CCNA_01946	2088215	2089540	+	n	2088068	x	x	x	TRUE	1	y	complex	0	x
1123	CCNA_01947	CCNA_01947	2089668	2090129	+	n	2089603	x	x	x	TRUE	1	n	simple	0	x
1124	CCNA_01948	CCNA_01949	2090363	2091980	+	y	2090336	x	x	x	TRUE	1	n	simple	0	x
1128	CCNA_03959	CCNA_01954	2097338	2100176	+	y	2097099	x	x	x	POTENTIAL	1	y	complex	0	x
1129	CCNA_01955	CCNA_01956	2100319	2102505	+	y	2100288	x	x	x	TRUE	1	n	simple	0	x
1131	CCNA_01959	CCNA_01961	2103849	2106214	+	y	2103829	x	x	x	TRUE	1	n	simple	0	x
1132	CCNA_01962	CCNA_01962	2106314	2106967	+	n	x	x	x	x	NO	0	n	simple	0	x
1134	CCNA_01966	CCNA_01966	2108222	2110945	+	n	2108134	x	x	x	POTENTIAL	1	n	simple	0	x
1135	CCNA_01967	CCNA_01967	2111017	2111514	+	n	x	x	x	x	NO	0	n	simple	0	x
1136	CCNA_01968	CCNA_01968	2111609	2112478	+	n	2111576	x	x	x	TRUE	1	n	simple	0	x
1139	CCNA_01971	CCNA_01972	2115417	2118922	+	y	2115364	x	x	x	TRUE	1	y	complex	0	x
1141	CCNA_01974	CCNA_01976	2119270	2121685	+	y	2119257	x	x	x	TRUE	1	n	simple	0	x
1142	CCNA_01977	CCNA_01978	2121781	2123273	+	y	2121746	x	x	x	TRUE	1	n	simple	0	x
1143	CCNA_01979	CCNA_01979	2123444	2124148	+	n	2123410	x	x	x	TRUE	1	y	complex	0	x
1145	CCNA_01982	CCNA_01982	2127354	2128766	+	n	2127285	x	x	x	POTENTIAL	1	n	simple	0	x
1145.1	CCNA_01983	CCNA_01983	2128834	2130114	+	n	2128784	x	x	x	TRUE	1	n	simple	0	x
1148	CCNA_02001	CCNA_02001	2147447	2148097	+	n	2147428	x	x	x	POTENTIAL	1	n	simple	0	x
1151	CCNA_02005	CCNA_02005	2152629	2153588	+	n	2152629	x	x	x	POTENTIAL	1	y	complex	0	x
2340	CCNA_02034	CCNA_02034	2177948	2178961	+	n	x	x	x	x	NO	0	n	simple	0	x
1159	CCNA_02040	CCNA_02040	2185464	2186132	+	n	2185416	x	x	x	TRUE	1	n	simple	0	x
1162	CCNA_02046	CCNA_02047	2192516	2194307	+	y	2192474	x	x	x	TRUE	1	y	complex	0	x
1163	CCNA_02048	CCNA_02048	2194602	2196782	+	n	2194528	2194538	x	x	POTENTIAL	multiple	y	complex	0	x
1165	CCNA_02050	CCNA_02051	2197425	2200246	+	y	x	x	x	x	NO	0	y	complex	0	x
1166	CCNA_02052	CCNA_02052	2200445	2202532	+	n	x	x	x	x	NO	0	n	simple	0	x
1167	CCNA_02053	CCNA_02053	2202810	2203127	+	n	x	x	x	x	NO	0	n	simple	0	x
1170	CCNA_02057	CCNA_02058	2206163	2208831	+	y	x	x	x	x	NO	0	n	simple	0	x
1172	CCNA_02061	CCNA_02061	2210438	2211667	+	n	2210418	x	x	x	POTENTIAL	1	n	simple	0	x
1174	CCNA_02065	CCNA_02065	2215780	2217882	+	n	x	x	x	x	NO	0	n	simple	0	x
1178	CCNA_02072	CCNA_02072	2223019	2223858	+	n	2223019	x	x	x	POTENTIAL	1	n	simple	0	x
1179	CCNA_02073	CCNA_02074	2223933	2225008	+	y	2223909	x	x	x	TRUE	1	n	simple	0	x
2386	CCNA_03896	CCNA_03896	2230242	2230709	+	n	2230180	x	x	x	POTENTIAL	1	n	simple	0	x
1185	CCNA_02088	CCNA_02088	2237630	2237962	+	n	2237620	x	x	x	TRUE	1	n	simple	0	x
1187	CCNA_02090	CCNA_02091	2238341	2240098	+	y	2238324	x	x	x	TRUE	1	y	complex	0	x
1189	CCNA_02093	CCNA_02093	2240848	2242695	+	n	2240755	x	x	x	TRUE	1	n	simple	0	x
1191	CCNA_02095	CCNA_02095	2243761	2244786	+	n	2243719	x	x	x	POTENTIAL	1	n	simple	0	x
1193	CCNA_02097	CCNA_02097	2245508	2247499	+	n	2245379	2245388	x	x	TRUE	multiple	n	complex	0	x
1194	CCNA_02098	CCNA_02098	2247588	2248484	+	n	2247560	2247569	x	x	TRUE	multiple	n	complex	0	x
1197	CCNA_02101	CCNA_02102	2250611	2252048	+	y	x	x	x	x	NO	0	n	simple	0	x
1202	CCNA_02112	CCNA_02113	2261538	2263219	+	y	x	x	x	x	NO	0	n	simple	0	x
1204	CCNA_02115	CCNA_02115	2263969	2265600	+	n	x	x	x	x	NO	0	n	simple	0	x
1208	CCNA_02121	CCNA_02122	2271309	2274592	+	y	2271308	x	x	x	POTENTIAL	1	n	simple	0	x
1209	CCNA_02123	CCNA_02123	2274928	2275422	+	n	x	x	x	x	NO	0	n	simple	0	x
1212	CCNA_02126	CCNA_02126	2279405	2279620	+	n	2279405	x	x	x	POTENTIAL	1	n	simple	0	x
1214	CCNA_02128	CCNA_02129	2281453	2283864	+	y	2281423	x	x	x	TRUE	1	n	simple	0	x
1220	CCNA_02142	CCNA_02146	2300772	2304447	+	y	2300737	x	x	x	POTENTIAL	1	n	simple	0	x
1221	CCNA_02147	CCNA_02147	2304546	2304875	+	n	2304546	x	x	x	TRUE	1	y	complex	0	x
1222	CCNA_02148	CCNA_02148	2304950	2305180	+	n	2304655	x	x	x	TRUE	1	n	simple	0	x
1226	CCNA_02154	CCNA_02154	2310141	2310677	+	n	2310118	x	x	x	TRUE	1	y	complex	0	x
1227	CCNA_02155	CCNA_02155	2310846	2312024	+	n	2310568	2310825	x	x	TRUE	multiple	n	complex	0	x
1229	CCNA_02158	CCNA_02159	2313968	2315475	+	y	x	x	x	x	NO	0	n	complex	1	CCNA_R0155
1231	CCNA_02161	CCNA_02161	2316227	2316895	+	n	2316208	x	x	x	TRUE	1	n	simple	0	x
1233	CCNA_02163	CCNA_02163	2317218	2318078	+	n	2317213	x	x	x	TRUE	1	n	simple	0	x
1235	CCNA_02169	CCNA_02169	2322045	2322497	+	n	2322022	x	x	x	TRUE	1	n	simple	0	x
1237	CCNA_02172	CCNA_02174	2324890	2327866	+	y	2324863	x	x	x	TRUE	1	n	simple	0	x
1239	CCNA_02176	CCNA_02176	2328416	2328604	+	n	x	x	x	x	NO	0	n	simple	0	x
1240	CCNA_02177	CCNA_02177	2328683	2328937	+	n	x	x	x	x	NO	0	n	simple	0	x
1241	CCNA_02178	CCNA_02178	2329001	2329906	+	n	2328969	x	x	x	TRUE	1	n	simple	0	x
1242	CCNA_02179	CCNA_02179	2330137	2331435	+	n	x	x	x	x	NO	0	n	simple	0	x
1245	CCNA_02183	CCNA_02184	2334262	2335619	+	y	2334217	x	x	x	TRUE	1	n	simple	0	x
1246	CCNA_03962	CCNA_02186	2335874	2338431	+	y	2335854	x	x	x	TRUE	1	n	complex	1	CCNA_R0049
1247	CCNA_02187	CCNA_02189	2339090	2340829	+	y	2339064	x	x	x	TRUE	1	n	simple	0	x
1248	CCNA_02190	CCNA_02190	2340908	2343046	+	n	2340878	x	x	x	TRUE	1	n	simple	0	x
1249	CCNA_02191	CCNA_02191	2343127	2343513	+	n	2343102	x	x	x	TRUE	1	n	simple	0	x
1252	CCNA_02194	CCNA_02195	2344537	2346370	+	y	2344513	2344519	x	x	TRUE	multiple	n	complex	0	x
1255	CCNA_02199	CCNA_02199	2348573	2349316	+	n	2348552	x	x	x	TRUE	1	n	simple	0	x
1258	CCNA_02202	CCNA_02202	2350414	2351211	+	n	2350185	2350196	x	x	TRUE	multiple	n	complex	0	x
1262	CCNA_02206	CCNA_02206	2354280	2354843	+	n	2354241	x	x	x	TRUE	1	n	simple	0	x
1263	CCNA_02207	CCNA_02207	2354920	2355870	+	n	2354892	x	x	x	TRUE	1	n	simple	0	x
1264	CCNA_02208	CCNA_02208	2355989	2356828	+	n	2355989	x	x	x	POTENTIAL	1	n	simple	0	x
1266	CCNA_02210	CCNA_02210	2357949	2358464	+	n	2357949	x	x	x	TRUE	1	n	simple	0	x
1267	CCNA_02211	CCNA_02211	2358556	2359698	+	n	2358535	x	x	x	TRUE	1	n	simple	0	x
1268	CCNA_02212	CCNA_02212	2359781	2360692	+	n	x	x	x	x	NO	0	n	simple	0	x
1270	CCNA_02214	CCNA_02214	2361994	2362434	+	n	2361988	x	x	x	TRUE	1	n	simple	0	x
1274	CCNA_02219	CCNA_02219	2365451	2366239	+	n	2365417	x	x	x	POTENTIAL	1	n	simple	0	x
1277	CCNA_02228	CCNA_02228	2376055	2376489	+	n	x	x	x	x	NO	0	n	simple	0	x
1278	CCNA_02229	CCNA_02229	2376611	2376871	+	n	x	x	x	x	NO	0	n	simple	0	x
1281	CCNA_02232	CCNA_02232	2379875	2382190	+	n	x	x	x	x	NO	0	n	simple	0	x
1282	CCNA_02233	CCNA_02233	2382349	2383116	+	n	x	x	x	x	NO	0	n	simple	0	x
1284	CCNA_02235	CCNA_02236	2383642	2385906	+	y	2383552	x	x	x	TRUE	1	n	simple	0	x
1285	CCNA_02237	CCNA_02237	2385974	2388190	+	n	2385974	x	x	x	TRUE	1	n	simple	0	x
1286	CCNA_02238	CCNA_02238	2388328	2388534	+	n	x	x	x	x	NO	0	n	simple	0	x
1289	CCNA_02243	CCNA_02243	2391809	2393164	+	n	x	x	x	x	NO	0	n	simple	0	x
1293	CCNA_02247	CCNA_02247	2396214	2397071	+	n	x	x	x	x	NO	0	n	simple	0	x
1296	CCNA_02253	CCNA_02253	2402492	2404267	+	n	x	x	x	x	NO	0	n	simple	0	x
2409	CCNA_03965	CCNA_03965	2404323	2404409	+	n	2404309	x	x	x	TRUE	1	n	complex	1	CCNA_R0051
1301	CCNA_02258	CCNA_02259	2409393	2410720	+	y	2409333	x	x	x	POTENTIAL	1	n	simple	0	x
1304	CCNA_02262	CCNA_02263	2413447	2417846	+	y	x	x	x	x	NO	0	n	simple	0	x
1306	CCNA_02265	CCNA_02265	2418653	2419132	+	n	2418653	x	x	x	POTENTIAL	1	n	simple	0	x
1307	CCNA_02266	CCNA_02266	2419189	2420253	+	n	x	x	x	x	NO	0	n	simple	0	x
1308	CCNA_02267	CCNA_02267	2420364	2420987	+	n	x	x	x	x	NO	0	n	simple	0	x
1310	CCNA_02269	CCNA_02269	2421986	2422978	+	n	2421971	x	x	x	POTENTIAL	1	n	simple	0	x
1316	CCNA_02277	CCNA_02277	2426768	2428969	+	n	2426721	x	x	x	TRUE	1	n	complex	1	CCNA_R0158
1317	CCNA_02278	CCNA_02280	2429076	2430867	+	y	2429056	x	x	x	TRUE	1	n	simple	0	x
1318	CCNA_02281	CCNA_02281	2430959	2432740	+	n	x	x	x	x	NO	0	y	complex	0	x
1319	CCNA_02282	CCNA_02282	2432848	2433369	+	n	2432638	x	x	x	TRUE	1	n	simple	0	x
1323	CCNA_02287	CCNA_02288	2435754	2437219	+	y	2435739	x	x	x	TRUE	1	n	simple	0	x
1326	CCNA_02294	CCNA_02296	2441149	2444141	+	y	2441054	x	x	x	POTENTIAL	1	n	simple	0	x
1328	CCNA_02299	CCNA_02302	2445821	2448739	+	y	2445745	2445785	x	x	TRUE	multiple	y	complex	0	x
1330	CCNA_02304	CCNA_02307	2449310	2453350	+	y	x	x	x	x	NO	0	y	complex	0	x
1332	CCNA_02309	CCNA_02309	2454519	2454854	+	n	2454489	x	x	x	TRUE	1	n	complex	1	CCNA_R0161
1333	CCNA_02310	CCNA_02310	2455008	2456885	+	n	x	x	x	x	NO	0	n	simple	0	x
2379	CCNA_02311	CCNA_02311	2457093	2457431	+	n	2456944	2457093	x	x	POTENTIAL	multiple	n	simple	0	x
1340	CCNA_02321	CCNA_02322	2463535	2465164	+	y	2463513	x	x	x	TRUE	1	n	simple	0	x
2410	CCNA_03966	CCNA_03966	2465238	2465672	+	n	2465215	x	x	x	TRUE	1	n	simple	0	x
1345	CCNA_02328	CCNA_02328	2470434	2470955	+	n	2470432	x	x	x	TRUE	1	n	simple	0	x
1346	CCNA_02329	CCNA_02329	2471231	2472748	+	n	2471231	x	x	x	TRUE	1	n	simple	0	x
1346.1	CCNA_02330	CCNA_02331	2472776	2473827	+	y	2472776	x	x	x	TRUE	1	n	simple	0	x
1347	CCNA_02332	CCNA_02332	2473963	2474481	+	n	2473898	x	x	x	TRUE	1	n	simple	0	x
1349	CCNA_02334	CCNA_02335	2475540	2476834	+	y	2475498	x	x	x	TRUE	1	n	simple	0	x
1352	CCNA_02341	CCNA_02341	2480879	2481337	+	n	2480773	x	x	x	POTENTIAL	1	n	simple	0	x
1356	CCNA_02345	CCNA_02346	2485010	2486178	+	y	2484992	x	x	x	TRUE	1	n	simple	0	x
1357	CCNA_02347	CCNA_02347	2486278	2487774	+	n	2486255	x	x	x	POTENTIAL	1	n	simple	0	x
1358	CCNA_02348	CCNA_02348	2487854	2488291	+	n	2487854	x	x	x	POTENTIAL	1	n	simple	0	x
1359	CCNA_02349	CCNA_02350	2488425	2489764	+	y	2488405	x	x	x	POTENTIAL	1	n	simple	0	x
1361	CCNA_02354	CCNA_02354	2493653	2494216	+	n	2493450	x	x	x	TRUE	1	n	simple	0	x
1362	CCNA_02355	CCNA_02355	2494298	2495023	+	n	x	x	x	x	NO	0	y	complex	0	x
1367	CCNA_02363	CCNA_02363	2502410	2502739	+	n	2502371	x	x	x	TRUE	1	n	simple	0	x
1370	CCNA_02367	CCNA_02367	2509312	2510400	+	n	x	x	x	x	NO	0	n	simple	0	x
1373	CCNA_02370	CCNA_02370	2514140	2516905	+	n	2514086	x	x	x	POTENTIAL	1	n	simple	0	x
1374	CCNA_02371	CCNA_02371	2517092	2518606	+	n	x	x	x	x	NO	0	n	simple	0	x
1376	CCNA_02376	CCNA_02376	2520245	2520523	+	n	x	x	x	x	NO	0	n	simple	0	x
1378	CCNA_02378	CCNA_02378	2521693	2522439	+	n	2521642	x	x	x	POTENTIAL	1	n	simple	0	x
1380	CCNA_02381	CCNA_02382	2523526	2525074	+	y	2523514	x	x	x	TRUE	1	n	simple	0	x
1384	CCNA_02390	CCNA_02390	2534303	2535016	+	n	2534303	x	x	x	TRUE	1	n	simple	0	x
1385	CCNA_02391	CCNA_03881	2535329	2537350	+	y	x	x	x	x	NO	0	n	simple	0	x
1390	CCNA_02397	CCNA_02397	2539482	2540201	+	n	2539460	x	x	x	POTENTIAL	1	n	simple	0	x
1393	CCNA_02401	CCNA_02401	2543511	2544563	+	n	2543475	x	x	x	TRUE	1	n	simple	0	x
1395	CCNA_02403	CCNA_02406	2546366	2549899	+	y	2546347	x	x	x	POTENTIAL	1	y	complex	0	x
1398	CCNA_02409	CCNA_02409	2552018	2553811	+	n	2551997	x	x	x	TRUE	1	n	simple	0	x
1399	CCNA_02410	CCNA_02410	2553957	2555147	+	n	x	x	x	x	NO	0	n	simple	0	x
1401	CCNA_02412	CCNA_02412	2556193	2556915	+	n	x	x	x	x	NO	0	n	simple	0	x
1403	CCNA_02415	CCNA_02415	2559422	2559829	+	n	2559378	x	x	x	TRUE	1	n	simple	0	x
1404	CCNA_02416	CCNA_02416	2560136	2560414	+	n	2560107	x	x	x	TRUE	1	n	simple	0	x
1405	CCNA_02417	CCNA_02418	2560536	2563204	+	y	x	x	x	x	NO	0	n	simple	0	x
1408	CCNA_02424	CCNA_02424	2567906	2568505	+	n	2567881	x	x	x	TRUE	1	n	simple	0	x
1417	CCNA_02438	CCNA_02438	2578809	2579783	+	n	2578743	2578777	x	x	TRUE	multiple	n	complex	0	x
1419	CCNA_02441	CCNA_02441	2582586	2582744	+	n	x	x	x	x	NO	0	n	simple	0	x
1423	CCNA_02445	CCNA_02445	2586432	2587169	+	n	x	x	x	x	NO	0	n	simple	0	x
1425	CCNA_02449	CCNA_02449	2589931	2590584	+	n	x	x	x	x	NO	0	n	simple	0	x
1426	CCNA_02450	CCNA_02451	2590749	2591835	+	y	x	x	x	x	NO	0	n	simple	0	x
1427	CCNA_02452	CCNA_02452	2591981	2592478	+	n	2591894	x	x	x	TRUE	1	n	simple	0	x
1431	CCNA_02458	CCNA_02459	2599611	2603211	+	y	2599561	x	x	x	TRUE	1	n	simple	0	x
1434	CCNA_02462	CCNA_02462	2604354	2604671	+	n	2604333	x	x	x	TRUE	1	n	simple	0	x
1437	CCNA_02469	CCNA_02469	2611950	2612546	+	n	x	x	x	x	NO	0	y	complex	0	x
1439	CCNA_03967	CCNA_02473	2613137	2619331	+	y	2613113	x	x	x	TRUE	1	n	simple	0	x
1441	CCNA_02476	CCNA_02477	2620910	2622933	+	y	2620875	x	x	x	TRUE	1	n	simple	0	x
1445	CCNA_02487	CCNA_02495	2635157	2643950	+	y	x	x	x	x	NO	0	y	complex	0	x
1447	CCNA_02498	CCNA_02505	2648023	2655713	+	y	2647851	2647863	x	x	TRUE	multiple	n	complex	0	x
1449	CCNA_02507	CCNA_02510	2656649	2661303	+	y	2656618	x	x	x	TRUE	1	n	simple	0	x
1451	CCNA_02514	CCNA_02514	2664933	2665673	+	n	2664933	x	x	x	POTENTIAL	1	n	simple	0	x
1454	CCNA_02517	CCNA_02517	2667090	2667611	+	n	x	x	x	x	NO	0	n	simple	0	x
1456	CCNA_02521	CCNA_02522	2671117	2672145	+	y	2670966	2671117	x	x	TRUE	multiple	y	complex	0	x
1457	CCNA_02523	CCNA_02523	2672380	2672874	+	n	2672303	x	x	x	TRUE	1	n	simple	0	x
1458	CCNA_02525	CCNA_02527	2673609	2676541	+	y	x	x	x	x	NO	0	n	simple	0	x
1458.1	CCNA_02528	CCNA_02529	2676573	2678323	+	y	2676573	x	x	x	TRUE	1	n	simple	0	x
1459	CCNA_02530	CCNA_02530	2678387	2679592	+	n	2678367	x	x	x	POTENTIAL	1	n	simple	0	x
1461	CCNA_02533	CCNA_02533	2680697	2680966	+	n	2680697	x	x	x	POTENTIAL	1	y	complex	0	x
1463	CCNA_02535	CCNA_02535	2681312	2684011	+	n	2681269	2681291	x	x	TRUE	multiple	n	complex	0	x
2388	CCNA_03900	CCNA_03900	2684051	2684416	+	n	2684051	x	x	x	TRUE	1	n	simple	0	x
1464	CCNA_02537	CCNA_02537	2684623	2686905	+	n	2684623	x	x	x	POTENTIAL	1	n	simple	0	x
1466	CCNA_02539	CCNA_02539	2688132	2689277	+	n	2688132	x	x	x	TRUE	1	n	simple	0	x
1468	CCNA_02541	CCNA_02542	2690943	2692151	+	y	2690943	x	x	x	POTENTIAL	1	y	complex	0	x
1469	CCNA_02543	CCNA_02543	2692233	2692400	+	n	2692188	x	x	x	TRUE	1	n	simple	0	x
1471	CCNA_02548	CCNA_02553	2696440	2702130	+	y	2696307	x	x	x	TRUE	1	y	complex	0	x
1472	CCNA_02554	CCNA_02554	2702239	2702601	+	n	2702239	x	x	x	TRUE	1	n	simple	0	x
1474	CCNA_02556	CCNA_02556	2703150	2703731	+	n	x	x	x	x	NO	0	n	simple	0	x
1475	CCNA_02557	CCNA_02558	2703852	2706239	+	y	x	x	x	x	NO	0	n	simple	0	x
1480	CCNA_02565	CCNA_02566	2713272	2716501	+	y	2713242	x	x	x	TRUE	1	n	simple	0	x
1481	CCNA_02567	CCNA_02567	2716669	2719197	+	n	2716613	x	x	x	TRUE	1	y	complex	0	x
1482	CCNA_02568	CCNA_02568	2719265	2720245	+	n	2719265	x	x	x	POTENTIAL	1	n	simple	0	x
1484	CCNA_02570	CCNA_02570	2721305	2722639	+	n	2721269	x	x	x	POTENTIAL	1	n	simple	0	x
1485	CCNA_02571	CCNA_02571	2722855	2724348	+	n	2722817	x	x	x	TRUE	1	n	simple	0	x
1486	CCNA_02572	CCNA_02574	2724537	2727155	+	y	2724537	x	x	x	TRUE	1	n	simple	0	x
1488	CCNA_02576	CCNA_02577	2727918	2728966	+	y	2727681	2727713	2727764	2727792	TRUE	multiple	n	complex	0	x
1490	CCNA_02579	CCNA_02580	2729929	2731393	+	y	2729879	x	x	x	TRUE	1	n	simple	0	x
1491	CCNA_02581	CCNA_02582	2731704	2732322	+	y	2731667	x	x	x	TRUE	1	n	simple	0	x
1492	CCNA_02583	CCNA_02583	2732389	2733051	+	n	2732389	x	x	x	TRUE	1	n	simple	0	x
2389	CCNA_03901	CCNA_03901	2733704	2734027	+	n	2733645	x	x	x	POTENTIAL	1	n	simple	0	x
1494	CCNA_02586	CCNA_02586	2734094	2736313	+	n	2734094	x	x	x	TRUE	1	y	complex	0	x
1496	CCNA_02589	CCNA_02592	2739366	2741333	+	y	2739286	2739298	x	x	TRUE	multiple	y	complex	0	x
1502	CCNA_02602	CCNA_02602	2747660	2748538	+	n	2747660	x	x	x	POTENTIAL	1	n	simple	0	x
1506	CCNA_02607	CCNA_02607	2753922	2755133	+	n	2753851	x	x	x	TRUE	1	n	simple	0	x
1507	CCNA_02608	CCNA_02610	2755289	2757226	+	y	2755270	x	x	x	TRUE	1	n	simple	0	x
1514	CCNA_02619	CCNA_02619	2767206	2768111	+	n	2767181	x	x	x	TRUE	1	n	simple	0	x
1515	CCNA_02620	CCNA_02620	2768190	2768480	+	n	x	x	x	x	NO	0	n	simple	0	x
1516	CCNA_02621	CCNA_02621	2768606	2769535	+	n	2768558	x	x	x	TRUE	1	n	simple	0	x
1521	CCNA_02630	CCNA_02630	2781006	2781527	+	n	2780910	x	x	x	POTENTIAL	1	n	simple	0	x
1523	CCNA_02632	CCNA_02632	2782120	2782746	+	n	2782070	2782082	2782097	x	TRUE	multiple	n	complex	0	x
1526	CCNA_02636	CCNA_02636	2787593	2787991	+	n	2787593	x	x	x	POTENTIAL	1	n	simple	0	x
1527	CCNA_02637	CCNA_02637	2788093	2789109	+	n	2788076	x	x	x	TRUE	1	n	simple	0	x
1530	CCNA_02648	CCNA_02648	2802232	2803152	+	n	x	x	x	x	NO	0	n	simple	0	x
1532	CCNA_02652	CCNA_02652	2805606	2807102	+	n	2805513	x	x	x	TRUE	1	y	complex	0	x
1533	CCNA_02653	CCNA_02653	2807177	2808076	+	n	2807026	x	x	x	TRUE	1	n	simple	0	x
1534	CCNA_02654	CCNA_02654	2808208	2808585	+	n	x	x	x	x	NO	0	n	simple	0	x
1539	CCNA_02659	CCNA_02660	2811763	2812790	+	y	2811557	2811737	x	x	TRUE	multiple	n	complex	0	x
1540	CCNA_02661	CCNA_02661	2812862	2815669	+	n	2812857	x	x	x	TRUE	1	n	simple	0	x
1543	CCNA_02665	CCNA_02667	2818761	2820662	+	y	x	x	x	x	NO	0	n	simple	0	x
1548	CCNA_02673	CCNA_02673	2825362	2828268	+	n	2825320	x	x	x	TRUE	1	n	simple	0	x
1549	CCNA_02674	CCNA_02675	2828468	2829240	+	y	x	x	x	x	NO	0	n	simple	0	x
1552	CCNA_02677	CCNA_02677	2830324	2830938	+	n	x	x	x	x	NO	0	n	simple	0	x
1555	CCNA_02681	CCNA_02681	2833779	2835203	+	n	2833779	x	x	x	POTENTIAL	1	n	simple	0	x
1557	CCNA_02684	CCNA_02685	2837433	2838880	+	y	x	x	x	x	NO	0	n	simple	0	x
1558	CCNA_02686	CCNA_02687	2839054	2841652	+	y	2839034	x	x	x	TRUE	1	n	simple	0	x
1559	CCNA_02688	CCNA_02688	2841783	2842697	+	n	x	x	x	x	NO	0	n	simple	0	x
1560	CCNA_02689	CCNA_02691	2842846	2845246	+	y	x	x	x	x	NO	0	n	simple	0	x
1564	CCNA_02695	CCNA_02698	2849457	2852460	+	y	2849436	x	x	x	POTENTIAL	1	y	complex	0	x
1566	CCNA_02704	CCNA_02704	2859445	2861721	+	n	2859382	x	x	x	TRUE	1	n	simple	0	x
1570	CCNA_02708	CCNA_02708	2868545	2868976	+	n	2868486	x	x	x	POTENTIAL	1	n	simple	0	x
1572	CCNA_02711	CCNA_02713	2870419	2873037	+	y	2870361	x	x	x	TRUE	1	y	complex	0	x
1573	CCNA_02714	CCNA_02714	2873155	2874981	+	n	x	x	x	x	NO	0	n	simple	0	x
1574	CCNA_02715	CCNA_02715	2875196	2877277	+	n	2875084	2875106	x	x	TRUE	multiple	n	complex	0	x
1574.1	CCNA_02716	CCNA_02721	2877370	2884663	+	y	2877358	x	x	x	TRUE	1	n	simple	0	x
1576	CCNA_02723	CCNA_02723	2885831	2886376	+	n	2885789	x	x	x	POTENTIAL	1	n	simple	0	x
1579	CCNA_03973	CCNA_02727	2889997	2890931	+	y	2889891	x	x	x	TRUE	1	n	simple	0	x
1580	CCNA_02728	CCNA_02728	2891107	2891412	+	n	2891064	x	x	x	TRUE	1	n	simple	0	x
1581	CCNA_02729	CCNA_02730	2891507	2894161	+	y	x	x	x	x	NO	0	n	simple	0	x
1585	CCNA_02736	CCNA_02736	2897850	2898464	+	n	x	x	x	x	NO	0	n	simple	0	x
1587	CCNA_02738	CCNA_02738	2898997	2899818	+	n	2898991	x	x	x	POTENTIAL	1	n	simple	0	x
1589	CCNA_02741	CCNA_02741	2901593	2902285	+	n	2901445	2901494	2901515	x	TRUE	multiple	n	complex	0	x
1594	CCNA_02746	CCNA_02746	2908259	2909275	+	n	x	x	x	x	NO	0	n	simple	0	x
1596	CCNA_02748	CCNA_02748	2910262	2910510	+	n	2910262	x	x	x	POTENTIAL	1	y	complex	0	x
1601	CCNA_02755	CCNA_02755	2919671	2920069	+	n	2919414	x	x	x	TRUE	1	n	simple	0	x
1603	CCNA_02757	CCNA_02758	2920986	2922152	+	y	2920958	x	x	x	POTENTIAL	1	y	complex	0	x
1604	CCNA_02759	CCNA_02759	2922305	2923135	+	n	2922245	2922255	x	x	TRUE	multiple	n	complex	0	x
1604.1	CCNA_02760	CCNA_02761	2923196	2923918	+	y	2923161	2923175	2923196	x	TRUE	multiple	y	complex	0	x
1606	CCNA_02762	CCNA_02762	2924124	2924789	+	n	2924107	x	x	x	POTENTIAL	1	n	simple	0	x
1607	CCNA_02763	CCNA_02763	2924942	2926183	+	n	x	x	x	x	NO	0	n	simple	0	x
1609	CCNA_02771	CCNA_02773	2931550	2933504	+	y	2931485	x	x	x	TRUE	1	n	simple	0	x
1609.1	CCNA_02774	CCNA_02774	2933639	2934097	+	n	2933639	x	x	x	TRUE	1	n	simple	0	x
1614	CCNA_02778	CCNA_02779	2936392	2938135	+	y	x	x	x	x	NO	0	y	complex	0	x
1615	CCNA_02780	CCNA_02781	2938555	2939946	+	y	x	x	x	x	NO	0	y	complex	0	x
1617	CCNA_02783	CCNA_02787	2940765	2945245	+	y	2940490	2940595	x	x	TRUE	multiple	y	complex	0	x
